id;Data;Ano_Construção;Ano_Reforma;Sala;Escritório;Cozinha;Quarto;Banheiro;Andares; Preço 
48;20140716;1981;0;2;0;1;4;2.5;2;785000
49;20150428;1953;0;1;0;1;3;1.75;1;450000
50;20150311;1953;0;1;0;1;3;2.5;1; 1.35e+006 
51;20140916;1955;0;1;0;1;3;1;1;228000
52;20150217;1966;0;1;0;1;5;2.5;1;345000
53;20141231;1950;0;1;0;1;3;1.75;1;600000
54;20150205;1981;0;1;0;1;2;1.75;1;585000
55;20150303;1927;0;1.5;0.5;1;5;2.25;1.5;920000
56;20140512;1995;0;2;0;1;4;2.5;2;885000
57;20140819;2008;0;2;0;1;4;2.5;2;292500
58;20150407;2003;0;2;0;1;3;2.5;2;301000
59;20140827;1968;0;2;0;1;5;3.25;2;951000
60;20150223;1991;0;2;0;1;4;3;2;430000
61;20141210;1959;0;1;0;1;3;2.25;1;650000
62;20140828;1954;0;1;0;1;3;1.75;1;289000
63;20141021;1973;0;2;0;1;3;1.75;2;505000
64;20141207;2014;0;1;0;1;3;1.75;3;549000
65;20140603;1979;0;1;0;1;3;2.25;1;425000
66;20141120;1925;0;1.5;0.5;1;3;2.75;1.5;317625
67;20140909;1989;0;2;0;1;4;2.5;2;975000
68;20141009;2005;0;2;0;1;4;2.5;2;287000
69;20140825;1968;0;1;0;1;3;1;1;204000
70;20140612;1965;0;1;0;1;5;2.25;1;1325000000
71;20140912;1973;0;1;0;1;5;3.25;1; 1.04e+006 
72;20150105;1972;0;1;0;1;3;2;1;325000
73;20140610;1916;0;1.5;0.5;1;4;2;1.5;571000
74;20140710;2005;0;2;0;1;4;2.5;2;360000
75;20150316;1965;0;1;0;1;3;1.75;1;349000
76;20141105;1986;0;2;0;1;4;4;2;832500
77;20141013;1956;0;1;0;1;4;1.75;1;380000
78;20150420;1941;0;1;0;1;3;1;1;480000
79;20140609;1956;0;1;0;1;3;1;1;410000
80;20150323;2002;0;2;0;1;4;2.5;2;720000
81;20141202;2003;0;2;0;1;3;2.5;2;390000
82;20141222;1992;0;2;0;1;4;2.5;2;360000
83;20141028;1948;0;1;0;1;2;1;1;355000
84;20150128;1964;0;1;0;1;3;1.5;1;356000
85;20140602;1952;0;1;0;1;3;1;1;315000
86;20141114;1925;0;2;0;1;3;1.5;2;940000
87;20141103;1961;0;1.5;0.5;1;5;2.25;1.5;305000
88;20140618;2006;0;2;0;1;3;3.25;2;461000
89;20140519;1979;0;2;0;1;2;2.25;2;215000
90;20140904;2006;0;2;0;1;2;1.75;2;335000
91;20140522;1988;0;2;0;1;4;2.5;2;243500
92;20150311;2001;0;2;0;1;5;2.75;2;1,09988E+11
93;20150226;1962;0;1;0;1;3;1;1;153000
94;20140725;1939;0;1;0;1;3;1.5;1;430000
95;20141223;1939;0;1;0;1;3;1.5;1;700000
96;20140908;1946;1991;1;0;1;4;2.5;1;905000
97;20150330;1967;0;1;0;1;3;1.75;1;247500
98;20140912;1975;0;1;0;1;4;1.5;1;199000
99;20140711;1980;0;1;0;1;3;1.75;1;314000
100;20140516;1992;0;2;0;1;3;2.5;2;437500
101;20140611;1910;0;1.5;0.5;1;3;2.5;1.5;850830
102;20141027;1929;0;1.5;0.5;1;3;2;1.5;555000
103;20141212;1983;0;2;0;1;3;2.25;2;699950
104;20141007;1950;2010;2;0;1;3;2.5;2;1088000000
105;20140924;1954;0;1;0;1;3;1;1;290000
106;20150402;1978;0;1;0;1;3;2.5;1;375000
107;20140523;1939;0;1.5;0.5;1;3;1;1.5;460000
108;20140723;1985;0;1;0;1;2;1.75;1;188500
109;20150305;1991;0;2;0;1;4;2.5;2;680000
110;20140827;1942;0;2;0;1;5;1.75;2;470000
111;20140725;1984;0;2;0;1;4;2.5;2;597750
112;20150304;1905;0;1;0;1;3;1.75;1;570000
113;20140916;1980;0;1;0;1;3;1.75;1;272500
114;20141124;1971;0;1;0;1;3;1.75;1;329950
115;20141028;2001;0;2;0;1;4;2.5;2;480000
116;20141121;1900;1999;2;0;1;3;3.5;2;740500
117;20140626;2010;0;1;0;1;3;3.5;3;518500
118;20140623;1945;0;1;0;1;2;1;1;205425
119;20150108;1950;0;1;0;1;4;2;1;171800
120;20150511;1925;0;1.5;0.5;1;4;1;1.5;535000
121;20150102;1964;0;1;0;1;3;2.5;1;660000
122;20141119;1987;0;1;0;1;3;2;1;391500
123;20150406;1953;0;1;0;1;2;1;1;395000
124;20141104;1924;0;1.5;0.5;1;4;1.75;1.5;445000
125;20140618;1990;0;2;0;1;3;2.25;2;770000
126;20150302;1914;1992;1.5;0.5;1;4;2.75;1.5; 1.45e+006 
127;20140717;1967;0;1;0;1;3;2.25;1;445000
128;20140717;1978;0;1;0;1;4;2.25;1;260000
129;20140613;1926;0;2;0;1;5;3.5;2;822500
130;20150406;2004;0;2;0;1;4;2.5;2;430000
131;20150105;1986;0;1;0;1;3;1.75;1;212000
132;20150428;1986;0;1;0;1;4;2.25;1;660500
133;20140612;1989;0;1.5;0.5;1;3;3.5;1.5;784000
134;20140512;2014;0;2;0;1;3;2.5;2;453246
135;20150126;2005;0;1;0;1;4;3.5;3;675000
136;20140813;1956;0;1;0;1;3;1.75;1;199000
137;20140805;1968;0;1;0;1;4;1.75;1;220000
138;20140529;1968;0;1;0;1;4;2.25;1;452000
139;20140707;1981;0;1;0;1;2;1;1;382500
140;20140507;2014;0;1;0;1;3;2.25;3;519950
141;20140627;1925;0;1;0;1;2;1;1;665000
142;20140708;1968;0;1;0;1;5;2.5;1;527700
143;20150508;1962;0;1;0;1;3;1;1;205000
144;20150415;1923;0;1;0;1;3;1;1;420000
145;20150227;1961;0;1;0;1;4;2.25;1;500000
146;20141203;1994;0;2;0;1;4;2.5;2;921500
147;20140625;1905;0;2;0;1;4;1;2;890000
148;20140806;2007;0;2;0;1;2;2.5;2;430000
149;20141030;1960;0;1;0;1;5;2;1;258000
150;20141104;1947;0;1;0;1;3;1;1;511000
151;20140820;1990;0;2;0;1;3;2;2;532170
152;20150409;1947;0;1.5;0.5;1;3;1;1.5;560000
153;20150331;1954;0;1;0;1;3;1;1;282950
154;20150401;2006;0;2;0;1;4;3.25;2; 2.25e+006 
155;20140516;1942;0;1;0;1;1;1;1;350000
156;20140728;1967;0;1;0;1;3;1;1;215000
157;20141120;1996;0;2;0;1;5;3.5;2;650000
158;20140807;1967;0;1;0;1;4;2.75;1;320000
159;20141113;1916;2013;1.5;0.5;1;3;2;1.5;247000
160;20141003;1968;0;1;0;1;4;1.75;1;320000
161;20140507;1962;0;1;0;1;5;2.25;1;255000
162;20150309;1962;0;1;0;1;3;1.75;1;438000
163;20150304;2000;0;2;0;1;3;2.5;2;900000
164;20140620;1979;0;1;0;1;3;2.75;1;441000
165;20140812;1975;0;1;0;1;3;2;1;420000
166;20141208;1976;0;1;0;1;3;1.75;1;370000
167;20150219;1949;0;1;0;1;2;1.75;1;269950
168;20150324;1999;0;2;0;1;4;2.5;2;807100
169;20140605;1979;0;1;0;1;3;2.5;1;653000
170;20140611;1964;0;1;0;1;3;2;1;371500
171;20150316;1954;0;1;0;1;3;1.75;1;284000
172;20150102;1978;0;1;0;1;3;1.75;1;272000
173;20140502;1955;0;1.5;0.5;1;3;1.5;1.5;313000
174;20150116;1984;0;2;0;1;4;2.5;2;917500
175;20140929;1980;0;2;0;1;4;2.25;2;673000
176;20150210;2008;0;2;0;1;3;2.5;2;425000
177;20140709;1986;0;1;0;1;5;2.75;1;399950
178;20140530;1901;0;1;0;1;3;1;1;385000
179;20141117;1975;0;1;0;1;3;1.5;1;269950
180;20150107;1949;0;1;0;1;2;1;1;330000
181;20140725;1988;0;2;0;1;3;2.5;2;260000
182;20150414;1925;0;1.5;0.5;1;4;3;1.5;470000
183;20140613;1961;0;2;0;1;4;3;2;589000
184;20140723;1996;0;2;0;1;2;1.5;2;163500
185;20140905;1993;0;2;0;1;4;2.75;2;835000
186;20141121;1986;0;1;0;1;5;3;1;1095000000
187;20150415;1969;0;1;0;1;4;1.75;1;269000
188;20140505;1987;0;2;0;1;3;2.5;2;560000
189;20150418;1901;0;1.5;0.5;1;4;1;1.5;615000
190;20141205;1975;0;1;0;1;3;2.25;1;585188
191;20140818;1977;0;1;0;1;3;1.75;1;305000
192;20141105;1959;0;1;0;1;3;1;1;166950
193;20140912;1959;0;1;0;1;3;2.5;1;799000
194;20140625;1962;0;1;0;1;3;2.5;1;400000
195;20141201;1948;0;1;0;1;3;1;1;230000
196;20140515;2003;0;2;0;1;3;2.5;2;256883
197;20141111;1920;0;1.5;0.5;1;4;2;1.5;423000
198;20140723;2007;0;2;0;1;3;2.5;2;465000
199;20150113;1997;0;2;0;1;3;2.5;2;440000
200;20141014;1969;0;1;0;1;3;1.75;1;385000
201;20150311;1943;0;1;0;1;3;1;1;210000
202;20141112;1994;0;2;0;1;3;2.5;2;297000
203;20140716;1952;0;1;0;1;3;1;1;470000
204;20140804;1976;0;1;0;1;3;1.5;1;226500
205;20150303;1962;0;1;0;1;3;1;1;274250
206;20140804;1966;0;1;0;1;4;1.75;1;840000
207;20140919;2010;0;2;0;1;3;2.5;2;677900
208;20150205;1915;0;1;0;1;3;1;1;425000
209;20141123;1941;0;1;0;1;2;0.75;1;180250
210;20140717;1920;1994;2;0;1;6;3;2;464000
211;20150422;1993;0;2;0;1;4;2.25;2;320000
212;20140717;2014;0;2;0;1;3;2.25;2;625504
213;20140515;1983;0;1;0;1;4;2.5;1;592500
214;20150114;2005;0;2;0;1;3;2.5;2;465000
215;20140527;1978;0;2;0;1;4;2.75;2;477000
216;20150115;1923;0;1;0;1;2;1;1;280000
217;20150221;1957;1991;1;0;1;5;3;1;1505000000
218;20140703;2000;0;2;0;1;3;2.5;2;445838
219;20140828;1947;0;1;0;1;2;2.25;1;1072000000
220;20141023;1947;0;1;0;1;2;1.5;1;467000
221;20140822;1999;0;2;0;1;4;2.5;2;686000
222;20140605;1961;0;1;0;1;3;2;1;279950
223;20140904;1987;0;2;0;1;4;2.25;2;527000
224;20140918;1966;0;1;0;1;3;2.25;1;325000
225;20140903;1994;0;2;0;1;3;2.25;2;328000
226;20140604;1942;0;1;0;1;3;2.25;1;390000
227;20150309;2005;0;1;0;1;2;2;1;479950
228;20140529;1978;0;1;0;1;4;2.25;1;264950
229;20150115;1961;0;1;0;1;3;1;1;235000
230;20150303;2004;0;2;0;1;3;2.5;2;516500
231;20150413;1915;1978;2;0;1;2;1.75;2;655000
232;20140616;1960;0;1;0;1;4;2.75;1;500000
233;20141121;1978;0;1;0;1;6;2.75;1;315000
234;20141120;1961;0;1;0;1;2;1;1;213000
235;20140902;1947;0;1.5;0.5;1;3;1.5;1.5;475000
236;20140610;1983;0;2;0;1;5;4;2;1025000000
237;20150409;1976;0;1;0;1;3;2;1;416000
238;20150320;1904;2005;1.5;0.5;1;4;1;1.5;410000
239;20140701;1993;0;2;0;1;3;3.5;2;800000
240;20140529;1965;0;1;0;1;6;2.5;1;472000
241;20141208;1968;0;1;0;1;3;1.75;1;225000
242;20141001;1940;0;1;0;1;2;1;1;210000
243;20150127;1925;0;1.5;0.5;1;2;1;1.5;455000
244;20150427;1954;0;1;0;1;3;1;1;225000
245;20140826;1918;0;1;0;1;2;1;1;480000
246;20150212;1990;0;2;0;1;3;2.5;2;363000
247;20140929;2000;0;1;0;1;4;2.5;1; 2.4e+006 
248;20150226;1954;0;1;0;1;2;1.5;1;181000
249;20150314;1976;0;1;0;1;4;2;1;250000
250;20150422;1918;0;1;0;1;3;1.75;1;481000
251;20140923;1978;0;1;0;1;3;2;1;260000
252;20140513;2001;0;2;0;1;4;2.5;2;455000
253;20150401;1991;0;2;0;1;3;2.25;2;415000
254;20150421;1953;0;1;0;1;3;1;1;349500
255;20140929;1987;0;2;0;1;3;2.5;2;245000
256;20140519;1928;0;1.5;0.5;1;2;2;1.5;592500
257;20141020;1955;0;1;0;1;4;1.75;1;385000
258;20150211;1974;0;1;0;1;3;1.75;1;315000
259;20141124;1979;0;1;0;1;3;1;1;255000
260;20140829;2006;0;2;0;1;4;2.5;2;693000
261;20141202;1911;0;1.5;0.5;1;3;1;1.5;780000
262;20141024;1960;0;1;0;1;3;1.75;1;237000
263;20141216;1979;0;2;0;1;3;2.25;2;525000
264;20150428;1930;0;1;0;1;2;1;1;425000
265;20141027;1936;0;1;0;1;1;0.75;1;369900
266;20140519;1988;0;2;0;1;4;2.5;2;290000
267;20140929;1954;0;1;0;1;3;1;1;285000
268;20140814;1937;0;1;0;1;2;1;1;415000
269;20150409;1979;0;1;0;1;3;2.5;1;272500
270;20150504;1982;2008;1.5;0.5;1;4;3.25;1.5; 2.9e+006 
271;20141007;1989;0;2;0;1;4;4.75;2;1365000000
272;20150501;1939;0;1;0;1;2;1;1;436000
273;20141017;1967;0;1;0;1;3;1;1;210000
274;20140925;1961;0;1;0;1;3;1;1;236000
275;20141124;1954;2003;1;0;1;3;1.75;1;331000
276;20150320;2006;0;2;0;1;3;2.5;2;365000
277;20150127;1960;0;1;0;1;3;2;1;450000
278;20141113;2014;0;2;0;1;4;2.75;2;770000
279;20150505;1997;0;1;0;1;4;2.5;1;455000
280;20150505;1908;0;1;0;1;3;1.75;1;405000
281;20140703;1969;0;1;0;1;4;1.75;1;304900
282;20150227;1931;0;1;0;1;2;1;1;170000
283;20150513;1905;1994;2;0;1;5;3;2; 2.05e+006 
284;20140630;2005;0;2;0;1;4;2.5;2;780000
285;20150410;1988;0;1;0;1;3;3;1;330000
286;20140905;1992;0;2;0;1;4;2.5;2;370000
287;20141017;1979;0;1;0;1;5;2.25;1;467000
288;20150209;1980;0;1;0;1;3;1.75;1;405000
289;20140702;1985;0;1;0;1;5;2.25;1;675000
290;20140812;1954;0;1;0;1;2;1;1;500000
291;20140723;1968;0;2;0;1;4;2.5;2;389999
292;20150224;1975;0;1;0;1;4;1.75;1;630000
293;20141022;1992;0;2;0;1;4;2.5;2;360000
294;20141002;1986;0;2;0;1;4;3;2;580000
295;20140709;1929;0;2;0;1;3;2;2;550000
296;20140710;1994;0;2;0;1;4;2.5;2;879000
297;20140822;1993;0;1;0;1;3;2;1;265000
298;20150304;1990;0;2;0;1;3;2.5;2;446500
299;20140602;1963;0;1;0;1;3;1.5;1;404000
300;20140529;1957;0;1;0;1;3;1.75;1;267500
301;20140624;2002;0;1;0;1;4;5;1;3075000000
302;20140811;1998;0;2;0;1;3;2.5;2;335000
303;20140619;1948;0;1;0;1;3;2.5;1;576000
304;20150401;2006;0;2;0;1;3;2.5;2;208633
305;20150115;1964;0;1;0;1;3;2.25;1;315000
306;20150217;1913;0;1;0;1;3;1.75;1;725000
307;20150403;1965;0;1;0;1;4;2.75;1;550000
308;20140612;1984;0;2;0;1;4;2.25;2;610750
309;20150228;1908;0;1.5;0.5;1;2;1;1.5;550700
310;20150108;1960;0;2;0;1;4;2.75;2;665000
311;20150209;1928;0;1.5;0.5;1;4;2.5;1.5;834000
312;20141023;1915;0;1.5;0.5;1;5;1.75;1.5;201000
313;20140502;1921;0;2;0;1;5;2.5;2;2384000000
314;20140618;1997;0;1;0;1;4;3.25;1;1384000000
315;20141209;1997;0;1;0;1;4;3.25;1; 1.4e+006 
316;20141105;1979;0;1;0;1;4;2.25;1;305000
317;20150408;1948;0;1;0;1;3;2;1;487000
318;20150511;1988;0;1;0;1;3;2.5;1;390000
319;20140723;1916;0;1;0;1;2;1;1;548000
320;20141122;1943;0;1;0;1;4;1;1;268750
321;20140513;2013;0;2;0;1;5;2.75;2;819900
322;20141023;1984;0;2;0;1;3;2.25;2;520000
323;20140721;2003;0;1;0;1;3;2;1;230000
324;20150202;1969;0;1;0;1;3;1.75;1;240000
325;20140905;1922;1984;1;0;1;2;1;1;232000
326;20150311;1922;1984;1;0;1;2;1;1;240500
327;20141027;1987;0;2;0;1;3;2.5;2;274975
328;20140905;1922;0;1.5;0.5;1;4;2;1.5;740000
329;20150428;1952;0;1;0;1;3;1;1;186375
330;20140725;1977;0;1;0;1;3;2.25;1;790000
331;20140916;1951;2002;2;0;1;4;3.5;2;880000
332;20150416;1955;0;2;0;1;6;1.75;2;279000
333;20140729;1991;0;1;0;1;3;2;1;295000
334;20150408;1924;0;1;0;1;2;1;1;640000
335;20140703;1968;0;2;0;1;4;2;2;940000
336;20141007;2003;0;2;0;1;4;2.5;2;260000
337;20140602;2004;0;1;0;1;3;2.75;1;559900
338;20140722;1911;0;1.5;0.5;1;4;2;1.5;791500
339;20140826;1954;0;1;0;1;3;1.75;1;265000
340;20150501;1954;0;1;0;1;3;1.75;1;245000
341;20150424;1962;0;2;0;1;4;1.75;2;485000
342;20141106;2010;0;2;0;1;4;3.5;2;684000
343;20140909;1957;0;1;0;1;3;1.75;1;425000
344;20141017;1991;0;1;0;1;4;1.75;1;309600
345;20140718;2002;0;2;0;1;4;2.5;2;552250
346;20140723;1943;0;1;0;1;4;1;1;165000
347;20141229;1943;0;1;0;1;4;1;1;239900
348;20141205;1930;0;1;0;1;2;1;1;320000
349;20141021;1987;0;1;0;1;3;2;1;206600
350;20150416;1973;0;1;0;1;4;1.75;1;387000
351;20140604;1967;0;1;0;1;1;0.75;1;299000
352;20140922;1965;0;2;0;1;4;2.75;2;855000
353;20150126;1954;0;1;0;1;3;1;1;315000
354;20141203;1907;0;1;0;1;2;1;1;437500
355;20150324;1969;0;1;0;1;4;1.5;1;252000
356;20140604;1955;0;1;0;1;4;1.75;1;375000
357;20140806;2005;0;2;0;1;4;2.5;2;300000
358;20141006;1954;0;1.5;0.5;1;4;1;1.5;420000
359;20140505;1928;1954;1;0;1;3;1;1;900000
360;20140805;2000;0;2;0;1;3;2.5;2;679900
361;20140605;1992;0;2;0;1;3;2.5;2;463000
362;20140828;1978;0;2;0;1;5;2.5;2;380000
363;20141210;1994;0;2;0;1;4;2.5;2;329500
364;20140819;2013;0;1;0;1;3;2.5;1;604950
365;20140917;1966;0;1;0;1;5;2.5;1;795000
366;20150130;1994;0;2;0;1;3;2;2;465000
367;20150326;2002;0;2;0;1;4;2.5;2;673000
368;20141001;1991;0;2;0;1;4;2.5;2;810000
369;20150423;1989;0;1;0;1;4;2.75;1;785000
370;20141120;1986;0;1;0;1;4;3;1;338000
371;20141204;1993;0;2;0;1;3;2.25;2;280000
372;20141001;1954;0;1;0;1;4;2.25;1;315000
373;20150324;1954;0;1;0;1;4;2.25;1;530000
374;20141223;2004;0;2;0;1;5;3;2;380000
375;20140811;1994;0;2;0;1;3;2.25;2;297000
376;20140520;2004;0;2;0;1;4;2.5;2;730000
377;20140609;1940;0;1;0;1;3;1.75;1;450000
378;20141027;1997;0;1;0;1;3;3;1;275000
379;20150429;1960;0;2;0;1;4;2;2;595000
380;20150421;1904;2014;1.5;0.5;1;3;1.5;1.5;435000
381;20140916;1954;0;1;0;1;2;1.5;1;270000
382;20140805;1986;0;2;0;1;3;3;2;950000
383;20150313;2001;0;2;0;1;4;2.25;2;389000
384;20150121;1968;0;1;0;1;4;2.25;1;560000
385;20140728;1998;0;2;0;1;5;3.5;2; 1.35e+006 
386;20141111;1969;0;2;0;1;4;2.25;2;799000
387;20140625;1983;0;1;0;1;3;2;1;365500
388;20140515;1979;0;1;0;1;3;2;1;252350
389;20140905;1993;0;2;0;1;4;2.5;2;403950
390;20140801;1954;0;1;0;1;4;1.5;1;385000
391;20141210;1957;0;1.5;0.5;1;4;1;1.5;345000
392;20140917;1979;0;2;0;1;3;2.75;2;490000
393;20140618;2005;0;2;0;1;3;2.5;2;330000
394;20140512;1953;0;2;0;1;4;2.75;2;927000
395;20140728;1983;0;2;0;1;4;2.5;2;1118000000
396;20150430;1950;0;1;0;1;2;1;1;330000
397;20150309;1958;0;1;0;1;5;2.25;1;530000
398;20140623;1962;0;1;0;1;4;2;1;365000
399;20140619;1909;2011;1.5;0.5;1;3;2.5;1.5;378750
400;20140619;1968;0;1.5;0.5;1;4;1.75;1.5;269900
401;20150306;2008;0;2;0;1;3;3.5;2;557000
402;20140825;1974;0;1;0;1;4;1.75;1;360000
403;20150422;1937;0;1;0;1;2;1;1;352000
404;20150224;1994;0;2;0;1;3;2.5;2;437000
405;20140618;1994;0;2;0;1;4;2.5;2;322500
406;20140912;2001;0;2;0;1;3;3.25;2;650000
407;20140806;2001;0;1;0;1;3;2;3;450000
408;20150417;1998;0;1;0;1;3;2;1;278500
409;20150427;1995;0;2;0;1;4;2.5;2;364950
410;20140911;1986;0;1;0;1;4;3.5;1;840000
411;20150318;1991;0;2;0;1;3;2.5;2;268000
412;20140716;2006;0;1;0;1;2;1;1;517534
413;20141104;1978;0;2;0;1;3;2.5;2;632925
414;20140723;1995;0;2;0;1;3;2.5;2;577500
415;20150212;1920;0;1.5;0.5;1;4;1.5;1.5;339000
416;20140909;1967;0;1;0;1;3;1.75;1;570000
417;20140626;1964;0;1;0;1;4;1.75;1;563500
418;20150105;1962;0;1;0;1;4;2.25;1;423000
419;20141223;2012;0;2;0;1;3;2.25;2;355000
420;20140710;1999;0;2;0;1;5;4.25;2; 1.55e+006 
421;20141203;1941;0;1;0;1;2;1;1;482000
422;20140730;1955;0;1;0;1;3;1.75;1;625000
423;20141219;1988;0;2;0;1;3;2.5;2;538000
424;20150107;1985;0;2;0;1;3;2.5;2;380000
425;20140717;1909;0;1;0;1;2;1;1;375000
426;20150403;1996;0;1;0;1;3;2.5;1;245000
427;20141114;1947;1974;1;0;1;5;1.75;1;310000
428;20150225;1976;0;1;0;1;3;2;1; 1.3e+006 
429;20140506;1971;0;1;0;1;4;2;1;397000
430;20150512;2005;0;2;0;1;3;2.5;2;365000
431;20141028;1990;0;2;0;1;4;3;2;328500
432;20140908;1987;0;2;0;1;4;3;2;988000
433;20140722;1922;0;1.5;0.5;1;4;2.5;1.5;1000000
434;20140903;2005;0;2;0;1;3;2.5;2;237000
435;20140919;2003;0;2;0;1;4;2.5;2;525000
436;20140916;1976;2014;1;0;1;4;2.5;1;749000
437;20140821;1983;0;2;0;1;5;2.5;2;722500
438;20150312;1991;0;2;0;1;3;2.5;2;843000
439;20140708;2000;0;1;0;1;2;2;3;438000
440;20140916;1977;0;1;0;1;3;1.75;1;578000
441;20140923;1954;0;1;0;1;3;1.5;1;227950
442;20140722;1974;0;2;0;1;3;2.25;2;196000
443;20140715;1953;0;1;0;1;2;1;1;641000
444;20150422;1980;0;1;0;1;3;1.5;1;350000
445;20140819;1960;0;1;0;1;3;1;1;205000
446;20141202;1968;0;1;0;1;3;1.75;1;400000
447;20141110;2005;0;1;0;1;3;2.5;1; 1.03e+006 
448;20150319;1972;0;1;0;1;3;2;1;505000
449;20141009;1975;0;1;0;1;5;2.5;1;475000
450;20141105;1977;0;1;0;1;3;2.25;1;520000
451;20150502;1977;1999;2;0;1;3;4.5;2; 1.45e+006 
452;20141231;1965;0;1;0;1;3;1.75;1;333500
453;20150222;1976;0;1;0;1;3;1;1;232000
454;20150421;1983;0;1;0;1;3;2.75;1;691100
455;20141014;1960;0;1;0;1;3;1.75;1;811000
456;20140520;2001;0;2;0;1;3;2.5;2;551000
457;20150108;1994;0;2;0;1;3;2.5;2;496500
458;20141126;1980;0;2;0;1;3;3;2;705000
459;20140612;1966;0;1;0;1;4;2.5;1;578000
460;20150128;1986;0;1;0;1;3;1.75;1;255000
461;20140626;2007;0;2;0;1;4;3.5;2; 1.05e+006 
462;20150305;1989;0;2;0;1;3;2.25;2;348000
463;20141104;1985;0;2;0;1;3;2;2;230000
464;20141209;1988;0;2;0;1;4;2.25;2;359500
465;20141112;1953;0;1;0;1;3;1;1;330000
466;20140523;1912;0;1;0;1;1;0.75;1;80000
467;20141201;1954;0;1;0;1;3;1.75;1;465000
468;20141015;1997;0;2;0;1;4;2.5;2;325000
469;20150107;1947;0;1;0;1;3;2;1;340500
470;20150106;1993;0;2;0;1;3;2.5;2;342500
471;20140623;1930;1983;2;0;1;2;2;2;290900
472;20150213;2000;0;2;0;1;3;4.25;2;868700
473;20141113;1928;2013;2;0;1;4;2.75;2;1199000000
474;20141014;2000;0;2;0;1;4;3.25;2; 1.15e+006 
475;20140811;2011;0;2;0;1;4;2.75;2;859900
476;20140808;2003;0;2;0;1;4;2.25;2;520000
477;20140711;2005;0;2;0;1;3;2.5;2;460000
478;20140901;1949;0;1;0;1;3;1.5;1;438924
479;20150406;1918;0;1;0;1;2;1;1;315000
480;20140718;1975;0;1;0;1;4;2.75;1;590000
481;20141104;1955;0;1;0;1;4;1.75;1;378500
482;20140603;1990;0;2;0;1;3;2.5;2;328500
483;20150325;1973;0;2;0;1;3;3;2;849950
484;20141027;1950;0;1;0;1;3;1.5;1;525000
485;20150410;1993;0;1;0;1;4;3.25;2.5;1385000000
486;20150428;1978;0;1;0;1;4;2.5;1;295000
487;20140711;1998;0;2;0;1;6;3.5;2;1067000000
488;20140721;1917;0;1;0;1;2;2;1;207950
489;20141216;2002;0;2;0;1;4;2.75;2;699900
490;20150210;1977;0;2;0;1;5;2.5;2; 1.28e+006 
491;20141120;1963;0;1;0;1;4;1.5;1;452000
492;20150205;1987;0;1;0;1;3;2;1;370000
